,X,DATE,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,VEHICLE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2
122,35745,1/21/14,9:15,QUEENS,11385,40.7089793,-73.90183,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,64,0,206,0,-110,68,340
123,35746,1/21/14,9:15,QUEENS,11372,40.7503345,-73.8787316,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
124,35747,1/21/14,9:15,MANHATTAN,10018,40.7546882,-73.9953547,0,0,0,0,0,0,0,0,Unspecified,TAXI,64,0,206,0,-110,68,340
125,35748,1/21/14,9:15,MANHATTAN,10014,40.7322225,-74.0035541,0,0,0,0,0,0,0,0,Pavement Slippery,VAN,64,0,206,0,-110,68,340
126,35749,1/21/14,9:15,BROOKLYN,11234,40.6305063,-73.9281154,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
127,35750,1/21/14,9:15,BROOKLYN,11225,40.6673324,-73.9535212,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
128,35751,1/21/14,9:15,BROOKLYN,11212,40.6571755,-73.9210658,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
129,35752,1/21/14,9:15,BRONX,10473,40.8147829,-73.8633289,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
130,35753,1/21/14,9:15,BRONX,10472,40.8482215,-73.8831183,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
131,35754,1/21/14,9:10,BROOKLYN,NA,40.6927264,-73.726718,1,0,0,0,0,0,1,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
132,35755,1/21/14,9:10,QUEENS,NA,40.7263443,-73.7650719,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
133,35756,1/21/14,9:10,QUEENS,NA,40.644644,-74.0175605,0,0,0,0,0,0,0,0,Fatigued/Drowsy,PASSENGER VEHICLE,64,0,206,0,-110,68,340
134,35757,1/21/14,9:10,MANHATTAN,10030,40.8212629,-73.9460792,0,0,0,0,0,0,0,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
135,35758,1/21/14,9:09,QUEENS,11385,40.6980149,-73.8878823,0,0,0,0,0,0,0,0,Unspecified,MOTORCYCLE,64,0,206,0,-110,68,340
136,35759,1/21/14,9:09,BROOKLYN,11206,40.6957047,-73.9463647,0,0,0,0,0,0,0,0,Unspecified,SMALL COM VEH(4 TIRES),64,0,206,0,-110,68,340
137,35760,1/21/14,9:08,BRONX,NA,40.7699045,-73.9160706,0,0,0,0,0,0,0,0,Fatigued/Drowsy,PASSENGER VEHICLE,64,0,206,0,-110,68,340
138,35761,1/21/14,9:05,STATEN ISLAND,10304,40.6303023,-74.0814063,0,0,0,0,0,0,0,0,Unspecified,PASSENGER VEHICLE,64,0,206,0,-110,68,340
139,35762,1/21/14,9:05,BROOKLYN,11226,40.6539787,-73.9528241,0,0,0,0,0,0,0,0,Lost Consciousness,VAN,64,0,206,0,-110,68,340
140,35763,1/21/14,9:05,BROOKLYN,11220,40.6326333,-74.0125342,0,0,0,0,0,0,0,0,Pavement Slippery,PASSENGER VEHICLE,64,0,206,0,-110,68,340
141,35764,1/21/14,9:03,BROOKLYN,NA,40.7348841,-73.9748281,0,0,0,0,0,0,0,0,Unspecified,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
142,35765,1/21/14,9:00,BRONX,NA,40.7170235,-73.9491173,1,0,0,0,0,0,1,0,Traffic Control Disregarded,SPORT UTILITY / STATION WAGON,64,0,206,0,-110,68,340
143,35766,1/21/14,9:00,MANHATTAN,10001,40.7477688,-74.000397,1,0,0,0,0,0,1,0,Fatigued/Drowsy,PASSENGER VEHICLE,64,0,206,0,-110,68,340
